run_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	experiment_accession	scientific_name	library_strategy	library_layout	library_source	library_selection	instrument_platform	instrument_model	read_count	base_count	fastq_bytes	fastq_md5	fastq_ftp	already_available_locally	existing_gvcf	selection_status	selection_reason
SRR29909225	SAMN42721046	SRS22067156	PRJNA1138464	SRP521244	SRX25404619	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2625023	217876909	102393052	603639e87c56c7e2f786f72a82dee7f9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/025/SRR29909225/SRR29909225.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29909226	SAMN42721045	SRS22067155	PRJNA1138464	SRP521244	SRX25404618	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2804531	232776073	109641479	1d9517942bca18edb9f63e915ff8c126	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/026/SRR29909226/SRR29909226.fastq.gz	false	false	EXCLUDED	not WGS paired-end
SRR29909227	SAMN42721044	SRS22067154	PRJNA1138464	SRP521244	SRX25404617	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	30185752	9055725600	2404803586;2849582081	9e6c1421e9feb1903f4bc99895224226;3d0532847ee5f7573a2a631e3d29085b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/027/SRR29909227/SRR29909227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/027/SRR29909227/SRR29909227_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909228	SAMN42721043	SRS22067153	PRJNA1138464	SRP521244	SRX25404616	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	29705580	8911674000	2348497872;2731023349	533b5de48b0b4933c5ff3787326cda34;f79941d2dc6b2a5b4c494b0081f308cf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/028/SRR29909228/SRR29909228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/028/SRR29909228/SRR29909228_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909229	SAMN42721042	SRS22067151	PRJNA1138464	SRP521244	SRX25404615	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	33760180	10128054000	2681445065;3109649996	6fda3b05040aeef71af273820d312480;3fcc60cb176f78167f2a938321198203	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/029/SRR29909229/SRR29909229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/029/SRR29909229/SRR29909229_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909230	SAMN42721041	SRS22067152	PRJNA1138464	SRP521244	SRX25404614	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	30964720	9289416000	2445076590;2671690203	b08f9762b13da8f86eb3d9cf7a1fd90c;b5156f661335a811b39b0487c2107212	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/030/SRR29909230/SRR29909230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/030/SRR29909230/SRR29909230_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909231	SAMN42721040	SRS22067150	PRJNA1138464	SRP521244	SRX25404613	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	29843923	8953176900	2362129325;2724099867	7a05f59e53d249431e4348a79c45fddf;9368b1ce483e4c11dd49bed800e45836	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/031/SRR29909231/SRR29909231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/031/SRR29909231/SRR29909231_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909232	SAMN42721039	SRS22067149	PRJNA1138464	SRP521244	SRX25404612	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	29067989	8720396700	2368759300;2459236833	1e23b79b5649c018e93d49f0f439171d;eaf284299fe77b43705bde36991c9148	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/032/SRR29909232/SRR29909232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/032/SRR29909232/SRR29909232_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909233	SAMN42721038	SRS22067148	PRJNA1138464	SRP521244	SRX25404611	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	37051647	11115494100	3016803974;3150287389	a6c40adc11f7174f30e1e42c77b7add2;f1dd247ca0c2e7bc4f00f65f5ab0b4bf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/033/SRR29909233/SRR29909233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/033/SRR29909233/SRR29909233_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909234	SAMN42720912	SRS22067147	PRJNA1138464	SRP521244	SRX25404610	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	24016988	7205096400	1908227189;2203444813	3533577bcb420d86b6fa75b08f37dda6;753e4f4ac1d9f9cb9fe7bdc0001aa737	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/034/SRR29909234/SRR29909234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/034/SRR29909234/SRR29909234_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909235	SAMN42721037	SRS22067144	PRJNA1138464	SRP521244	SRX25404609	Vigna angularis	WGS	PAIRED	GENOMIC	size fractionation	ILLUMINA	Illumina HiSeq X	32740550	9822165000	2597010395;2750869472	2252c825af326a61cb90d9be200c9ad3;3ab11ddab743d357acbc245eadfd20db	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/035/SRR29909235/SRR29909235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/035/SRR29909235/SRR29909235_2.fastq.gz	false	false	EXCLUDED	outside frozen51 cohort
SRR29909236	SAMN42721036	SRS22067146	PRJNA1138464	SRP521244	SRX25404608	Vigna angularis	RAD-Seq	SINGLE	GENOMIC	Restriction Digest	ILLUMINA	Illumina HiSeq 2500	2782816	230973728	108073432	b4d5324c58bab9abbce4071fe648edd4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR299/036/SRR29909236/SRR29909236.fastq.gz	false	false	EXCLUDED	not WGS paired-end
